,created_at,likes,retweets,source,text
0,2020-02-05 08:46:16,6207.0,1680.0,Periscope,Speaking at @DefExpoIndia. Watch. https://t.co/i3qBH5GUeF
1,2020-02-05 06:40:07,28902.0,8396.0,Twitter Media Studio,"Today we take a historic step ahead towards building a grand Ram Temple in Ayodhya! 

It was my honour to address t… https://t.co/uaVfbtbkGU"
2,2020-02-05 05:30:47,8535.0,1672.0,Twitter for iPhone,"Thank you, President @SE_Rajoelina. Connected to Madagascar by the Indian Ocean, India is committed to stand with M… https://t.co/oUT9R5LtZF"
3,2020-02-04 16:08:21,14844.0,3248.0,Twitter for iPhone,Immense enthusiasm at the rally in Dwarka. People from all sections of society came to bless us. https://t.co/Ip23jrB4gc
4,2020-02-04 16:01:33,23447.0,5541.0,Twitter Media Studio,"वोट बैंक की राजनीति, नफरत की राजनीति, गलत इरादों और गलत नीयत के साथ दिल्ली का विकास नहीं किया जा सकता। कांग्रेस और… https://t.co/EyEjdczkzI"
5,2020-02-04 16:01:13,11776.0,3014.0,Twitter Media Studio,"देश की राजधानी दिल्ली का विकास 21वीं सदी की अपेक्षाओं-आकांक्षाओं के मुताबिक होना चाहिए। 

ये तभी संभव हो सकता है, ज… https://t.co/EbvWTsNy7x"
6,2020-02-04 16:00:54,13971.0,3589.0,Twitter Media Studio,"दिल्ली को दोष देने वाली नहीं, दिशा देने वाली सरकार चाहिए।

दिल्ली को उलझाने वाली नहीं, सुलझाने वाली राजनीति चाहिए।… https://t.co/jGnTMh0cgH"
7,2020-02-04 10:55:25,18709.0,4563.0,Periscope,"Speaking at a huge rally in Dwarka, Delhi. Watch. https://t.co/TQPYfhx6tO"
8,2020-02-03 15:18:49,22640.0,5786.0,Twitter Media Studio,"Some people have made parts of Delhi laboratories for their political experiments. 

People are facing inconvenienc… https://t.co/d9RITfRWDN"
9,2020-02-03 15:18:10,13823.0,3860.0,Twitter Media Studio,"They came to change the face of politics but they have been unmasked!

No Lokpal in Delhi.

No desire to bring welf… https://t.co/jDsgu00Vss"
10,2020-02-03 15:17:16,11627.0,3112.0,Twitter Media Studio,The Delhi Government is denying people the benefits of Ayushman Bharat. I fail to understand how they can be so dri… https://t.co/cwktSIrwwj
11,2020-02-03 15:16:05,13358.0,3265.0,Twitter Media Studio,Many decades old problems have been solved and many positive things are happening for the first time... https://t.co/zMt5QO9Jh2
12,2020-02-03 15:15:38,9651.0,2477.0,Twitter Media Studio,"दिल्ली के व्यापारियों के साथ, यहां के कारोबारियों के साथ भाजपा का बहुत करीबी रिश्ता रहा है। भाजपा का हमेशा से प्रया… https://t.co/4UPzd86Wsh"
13,2020-02-03 15:15:18,8301.0,2204.0,Twitter Media Studio,"इस साल के बजट में इंफ्रास्ट्रक्चर, MSME सेक्टर, टेक्स्टाइल और टेक्नोलॉजी पर बहुत ज्यादा जोर दिया गया है। ये सभी दि… https://t.co/DtN2LYPFI2"
14,2020-02-03 15:15:00,9591.0,2530.0,Twitter Media Studio,"दिल्ली में एक बहुत बड़ी समस्या थी, अवैध कॉलोनियों की।

लोगों के आशीर्वाद से हम दशकों पुरानी इस समस्या का समाधान कर… https://t.co/mGYacAG89Z"
15,2020-02-03 15:14:33,20454.0,4842.0,Twitter Media Studio,"दिल्ली सिर्फ एक शहर नहीं है, बल्कि भारत की धरोहर है। ये भारत के भिन्न-भिन्न रंगों को एक जगह समेटे हुए, एक जीवित परं… https://t.co/VEpRLk09LM"
16,2020-02-03 11:06:44,20937.0,5270.0,Periscope,Addressing a huge rally in Delhi. Watch. https://t.co/STOVixCErm
17,2020-02-01 16:28:09,8556.0,1468.0,Twitter for iPhone,We warmly welcome The Maldives in the Commonwealth and look forward to The Maldives playing a larger role in the co… https://t.co/5hEscQrAWa
18,2020-02-01 16:28:08,15351.0,2259.0,Twitter for iPhone,"I heartily congratulate President @ibusolih, Speaker @MohamedNasheed and the people of The Maldives on readmission to the @commonwealthsec."
19,2020-02-01 16:25:49,16326.0,2618.0,Twitter for iPhone,"Happy to have Uzbekistan as Partner Country in the Surajkund Mela, inaugurated by Rashtrapati Ji. 

I sincerely tha… https://t.co/eeAaQJ5MZx"
20,2020-02-01 13:51:23,12892.0,2894.0,Twitter for iPhone,"Steps like establishing a common online exam for government jobs, Kisan Rail and Krishi Udaan are going to have lon… https://t.co/CvFck9GjAr"
21,2020-02-01 13:50:42,13773.0,2951.0,Twitter for iPhone,"The #JanJanKaBudget strives to reduce the tax burden and put more money in the hands of the common man. 

With meas… https://t.co/zhbrkqbbCI"
22,2020-02-01 13:49:21,12344.0,2767.0,Twitter for iPhone,"#JanJanKaBudget places immense faith in India’s youth. That is why there is emphasis on MSME sector, skill developm… https://t.co/wELVopsmBV"
23,2020-02-01 13:48:14,16412.0,3344.0,Twitter for iPhone,#JanJanKaBudget includes many reforms. It also lays out a plan to boost employment generation in important sectors… https://t.co/xi0ewiqoGQ
24,2020-02-01 13:47:13,34459.0,5806.0,Twitter for iPhone,The first Budget of this new decade is a #JanJanKaBudget. It combines futuristic vision with a definitive action pl… https://t.co/dY8yhEv0kN
